Title,Genre,Premiere,Runtime,IMDb Rating,Language,Netflix
Enter the Anime,Documentary,5-Aug-19,58,2.5,English/Japanese,Yes
Dark Forces,Thriller,21-Aug-20,81,2.6,Spanish,Yes
The App,Science fiction/Drama,26-Dec-19,79,2.6,Italian,Yes
The Open House,Horror thriller,19-Jan-18,94,3.2,English,Yes
Kaali Khuhi,Mystery,30-Oct-20,90,3.4,Hindi,Yes
Drive,Action,1-Nov-19,147,3.5,Hindi,Yes
Leyla Everlasting,Comedy,4-Dec-20,112,3.7,Turkish,Yes
The Last Days of American Crime,Heist film/Thriller,5-Jun-20,149,3.7,English,Yes
Paradox,Musical/Western/Fantasy,23-Mar-18,73,3.9,English,Yes
Sardar Ka Grandson,Comedy,18-May-21,139,4.1,Hindi,Yes
Searching for Sheela,Documentary,22-Apr-21,58,4.1,English,Yes
The Call,Drama,27-Nov-20,112,4.1,Korean,Yes
Whipped,Romantic comedy,18-Sep-20,97,4.1,Indonesian,Yes
All Because of You,Action comedy,1-Oct-20,101,4.2,Malay,Yes
Mercy,Thriller,22-Nov-16,90,4.2,English,Yes
After the Raid,Documentary,19-Dec-19,25,4.3,Spanish,Yes
Ghost Stories,Horror anthology,1-Jan-20,144,4.3,Hindi,Yes
The Last Thing He Wanted,Political thriller,21-Feb-20,115,4.3,English,Yes
What Happened to Mr. Cha?,Comedy,1-Jan-21,102,4.3,Korean,Yes
Death Note,Horror thriller,25-Aug-17,100,4.4,English,Yes
"Hello Privilege. It's Me, Chelsea",Documentary,13-Sep-19,64,4.4,English,Yes
Secret Obsession,Thriller,18-Jul-19,97,4.4,English,Yes
Sextuplets,Comedy,16-Aug-19,99,4.4,English,Yes
The Girl on the Train,Thriller,26-Feb-21,120,4.4,Hindi,Yes
Thunder Force,Superhero-Comedy,9-Apr-21,105,4.4,English,Yes
Fatal Affair,Thriller,16-Jul-20,89,4.5,English,Yes
Just Say Yes,Romantic comedy,2-Apr-21,97,4.5,Dutch,Yes
Seriously Single,Comedy,31-Jul-20,107,4.5,English,Yes
The Misadventures of Hedi and Cokeman,Comedy,10-Feb-21,99,4.5,French,Yes
5 Star Christmas,Comedy,7-Dec-18,95,4.6,Italian,Yes
After Maria,Documentary,24-May-19,37,4.6,English/Spanish,Yes
I Am the Pretty Thing That Lives in the House,Horror,28-Oct-16,89,4.6,English,Yes
Paris Is Us,Romance drama,22-Feb-19,83,4.6,French,Yes
Porta dos Fundos: The First Temptation of Christ,Comedy,3-Dec-19,46,4.6,Portuguese,Yes
Rattlesnake,Horror,25-Oct-19,85,4.6,English,Yes
The Players,Comedy,15-Jul-20,88,4.6,Italian,Yes
We Are One,Documentary,14-Jul-20,86,4.6,French,Yes
Finding Agnes,Drama,30-Nov-20,105,4.7,Filipino,Yes
IO,Science fiction/Drama,18-Jan-19,95,4.7,English,Yes
Sentinelle,Action,5-Mar-21,80,4.7,French,Yes
Sol Levante,Anime / Short,2-Apr-20,4,4.7,English,Yes
The Binding,Drama,2-Oct-20,93,4.7,Italian,Yes
We Can Be Heroes,Superhero,25-Dec-20,100,4.7,English,Yes
Christmas Crossfire,Thriller,4-Dec-20,106,4.8,German,Yes
Coin Heist,Heist,6-Jan-17,97,4.8,English,Yes
Mrs. Serial Killer,Thriller,1-May-20,106,4.8,Hindi,Yes
Nobody Sleeps in the Woods Tonight,Horror,28-Oct-20,103,4.8,Polish,Yes
Take the 10,Comedy,20-Jan-17,80,4.8,English,Yes
The Main Event,Comedy,10-Apr-20,101,4.8,English,Yes
The Ridiculous 6,Western,11-Dec-15,119,4.8,English,Yes
Earth and Blood,Action,17-Apr-20,80,4.9,French,Yes
Fearless,Animation/Superhero,14-Aug-20,89,4.9,English,Yes
Holiday Rush,Family film,28-Nov-19,94,4.9,English,Yes
The Day of the Lord,Drama,30-Oct-20,93,4.9,Spanish,Yes
Airplane Mode,Comedy,23-Jan-20,96,5,Portuguese,Yes
How It Ends,Action-thriller,13-Jul-18,113,5,English,Yes
Love Like the Falling Rain,Drama,15-Oct-20,86,5,Indonesian,Yes
Rebirth,Thriller,15-Jul-16,100,5,English,Yes
Squared Love,Romantic comedy,11-Feb-21,102,5,Polish,Yes
Cadaver,Horror,22-Oct-20,86,5.1,Norwegian,Yes
Clinical,Thriller,13-Jan-17,104,5.1,English,Yes
Coffee & Kareem,Action comedy,3-Apr-20,88,5.1,English,Yes
Dude,Teen comedy-drama,20-Apr-18,97,5.1,English,Yes
Geez & Ann,Romantic drama,25-Feb-21,105,5.1,Indonesian,Yes
The Larva Island Movie,Animation,23-Jul-20,90,5.1,English,Yes
#REALITYHIGH,Comedy,8-Sep-17,99,5.2,English,Yes
American Factory: A Conversation with the Obamas ,Aftershow / Interview,21-Aug-19,10,5.2,English,Yes
Desperados,Romantic comedy,3-Jul-20,106,5.2,English,Yes
Dolly Parton's Christmas on the Square,Christmas musical,22-Nov-20,98,5.2,English,Yes
Father of the Year,Comedy,20-Jul-18,94,5.2,English,Yes
Firebrand,Drama,22-Feb-19,112,5.2,Marathi,Yes
Ghost Lab,Horror,26-May-21,117,5.2,Thai,Yes
Girlfriend's Day,Comedy,14-Feb-17,70,5.2,English,Yes
Handsome: A Netflix Mystery Movie,Comedy,5-May-17,81,5.2,English,Yes
Hubie Halloween,Comedy,7-Oct-20,103,5.2,English,Yes
Ibiza,Comedy,25-May-18,94,5.2,English,Yes
Rim of the World,Science fiction adventure,24-May-19,98,5.2,English,Yes
Sandy Wexler,Comedy,14-Apr-17,131,5.2,English,Yes
See You Yesterday,Science fiction,17-May-19,87,5.2,English,Yes
Still Laugh-In: The Stars Celebrate,Variety show,14-May-19,60,5.2,English,Yes
"Strip Down, Rise Up",Documentary,5-Feb-21,112,5.2,English,Yes
Tall Girl,Comedy-drama,13-Sep-19,102,5.2,English,Yes
The Beast,Drama,27-Nov-20,99,5.2,Italian,Yes
The Week Of,Comedy,27-Apr-18,116,5.2,English,Yes
A Christmas Prince: The Royal Wedding,Romantic comedy,30-Nov-18,92,5.3,English,Yes
Back to School,Comedy,30-Aug-19,83,5.3,French,Yes
Dangerous Lies,Thriller,30-Apr-20,97,5.3,English,Yes
Gunjan Saxena: The Kargil Girl,Drama,12-Aug-20,112,5.3,Hindi,Yes
Intuition,Thriller,28-May-20,116,5.3,Spanish,Yes
The Most Assassinated Woman in the World,Thriller,7-Sep-18,102,5.3,French,Yes
Things Heard & Seen,Horror,29-Apr-21,121,5.3,English,Yes
"To Each, Her Own",Romantic comedy,24-Jun-18,95,5.3,French,Yes
Who Would You Take to a Deserted Island?,Drama,12-Apr-19,93,5.3,Spanish,Yes
XOXO,Drama,26-Aug-16,92,5.3,English,Yes
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,15-Oct-20,98,5.4,English,Yes
A Christmas Prince: The Royal Baby,Romantic comedy,5-Dec-19,85,5.4,English,Yes
